Variable	Description	Units	FluxData	Yes	Status
NEE_st_fANN_qc	NEE_st_fANN quality flags: 0 = original, 1 = filled using original meteorological inputs or filled with qc=1, 2 = filled using filled meteorological inputs with qc=2 or 3, 3 = not filled using ANN due to one or more input missed but filled with the MDS method 		Level 4	No	included
NEE_or_fANN	NEE_or (see below) filled using the Artificial Neural Network method (Refer to Papale et al. 2003 Global Change Biology for more information and to the Other Information section in this document)	[umolCO2 m-2 s-1]	Level 4	No	included
NEE_or_fANN_qc	NEE_or_fANN quality flags: 0 = original, 1 = filled using original meteorological inputs or filled with qc=1, 2 = filled using filled meteorological inputs with qc=2 or 3, 3 = not filled using ANN due to one or more input missed but filled with the MDS method		Level 4	No	included
GPP_st_MDS	gross primary production based on NEE_st filled with the Marginal Distribution Sampling method	[gC m-2 day-1]	Level 4	Yes	included
GPP_or_MDS	gross primary production based on NEE_st filled with the Marginal Distribution Sampling method	[gC m-2 day-1]	Level 4	Yes	included
GPP_st_ANN	gross primary production based on NEE_st filled with the Artificial Neural Network method	[gC m-2 day-1]	Level 4	Yes	included
GPP_or_ANN	gross primary production based on NEE_st filled with the Artificial Neural Network method	[gC m-2 day-1]	Level 4	Yes	included
CO2	carbon dioxide concentration measured at top of the tower	[umol/mol]	Level 3 	Yes	included
H2O	water vapour concentration measured at top of the tower	[mmol/mol]	Level 3 	Yes	included
ZL	atmosphere stability parameter		Level 3 	No	included
Fc	carbon dioxide flux	[umolCO2 m-2 s-1]	Level 3 	No	included
Fc_qf	fluxes quality flags (see below)		Level 3 	No	included
H	sensible heat flux [W m-2]		Level 3	Yes	included
LE	latent heat flux [W m-2]		Level 3	Yes	included
ustar	friction velocity  [m s-1]		Level 3	Yes	included
ust_qf	quality flag: 0 = ok, 1 = possible spike. Calculated starting the linear regration between ustar and wind speed. Flagged as 1 if the residual are bigger than 5 times the standard deviation.		Level 3	No	included
Rg	global radiation	[W m-2]	Level 3	Yes	included
PPFD	photosynthetic photon flux density	[umol m-2 s-1]	Level 3	Yes	included
R_pot	potential radiation (at top of atmosphere) calculated from time and geographic coordinates	[W m-2]	Level 3	Yes	included
Rg_qf	quality flag for Rg: 0=ok, 1=possible bad values. Calculated comparing measured Rg and potential radiation.		Level 3	No	included
Rad_qf	quality flag for Rg and PPFD: 0 = ok, 1 = possible bad values. Calculated starting from the linear regration between the two variables. Flagged as 1 if the residual are bigger than 5 times the standard deviation.		Level 3	No	included
Rr	reflected radiation	[W m-2]	Level 3	Yes	included
Rn	net radiation	[W m-2]	Level 3	Yes	included
Rd	diffuse radiation (global)	[W m-2]	Level 3	Yes	included
APAR	light interception	[umol m-2 s-1]	Level 3	Yes	included
Ta	air temperature	[Â°C]	Level 3	Yes	included
Ts1	soil temperature depth 1	[°C]	Level 3	No	included
Ts2	soil temperature depth 2	[°C]	Level 3	No	included
SWC1	soil water content depth 1	[%vol]	Level 3	No	included
SWC2	soil water content depth 2	[%vol]	Level 3	No	included
G1	soil heat flux	[W m-2]	Level 3	??	included
G2	soil heat flux	[W m-2]	Level 3	??	included
Rh	relative humidity	[%]	Level 3	No	included
WD	wind direction	[degrees]	Level 3	Yes	included
WS	wind horizontal speed	[m s-1]	Level 3	Yes	included
